BIB,Name,Finished Time,Chip Pace (min/km),Rank Overall,Category Rank,Category
2,AYELE ABSHERO,03:18:40,00:04:43,43of 44,25of 26,Interval
3,HAYLE LEMI,02:07:32,00:03:02,1of 44,1of 26,Interval
4,PHILEMON RONO,02:08:44,00:03:03,2of 44,2of 26,Interval
6,AYCHEW BANTIE,02:11:53,00:03:08,6of 44,6of 26,Interval
7,HAILU ZEWDU,02:10:23,00:03:06,3of 44,3of 26,Interval
9,MASRESHA BERE,02:14:56,00:03:12,8of 44,8of 26,Interval
10,OKUBAY TSEGAY,02:11:49,00:03:08,5of 44,5of 26,Interval
12,HOSEA KIPLIMO,02:21:30,00:03:22,13of 44,13of 26,Interval
14,ABDELA GODANA,02:11:31,00:03:07,4of 44,4of 26,Interval
15,JOHN LANGAT,02:16:08,00:03:14,9of 44,9of 26,Interval
16,ABIDA EZAMZAMI,02:12:36,00:03:09,7of 44,7of 26,Interval
31,SRINU BUGATHA,02:23:05,00:03:24,15of 44,15of 26,Indian Male
32,GOPI THONAKKAL,02:16:41,00:03:15,10of 44,10of 26,Indian Male
33,ANISH THAPA,02:22:00,00:03:22,14of 44,14of 26,Indian Male
34,KALIDAS HIRAVE,02:19:54,00:03:19,12of 44,12of 26,Indian Male
35,MAN SINGH,02:16:58,00:03:15,11of 44,11of 26,Indian Male
37,MANVENDRA SINGH,02:33:33,00:03:39,30of 44,20of 26,Indian Male
38,GURUJIT SINGH,02:53:54,00:04:08,34of 44,22of 26,Indian Male
39,PANKAJ DHAKA,02:28:08,00:03:31,20of 44,17of 26,Indian Male
40,RAVI PRAKASH,02:29:39,00:03:33,23of 44,18of 26,Indian Male
41,SARVESH KUMAR,02:30:43,00:03:35,24of 44,19of 26,Indian Male
42,YOGENDRA KUMAR,03:12:36,00:04:34,41of 44,24of 26,Indian Male
44,NEERAJ KUMAR,03:50:36,00:05:28,44of 44,26of 26,Indian Male
46,CHANDIRAM LATE,02:42:26,00:03:51,32of 44,21of 26,Indian Male
49,BASANT CHAUHAN,03:00:44,00:04:17,35of 44,23of 26,Indian Male
57,TILAHUN AMSALU,02:24:17,00:03:26,17of 44,16of 26,Interval
103,SHARON CHEROP,02:31:30,00:03:36,28of 44,9of 18,Interval
104,RAHMA TUSA,02:24:22,00:03:26,18of 44,2of 18,Interval
105,SIFAN MELAKU,02:29:22,00:03:33,22of 44,5of 18,Interval
106,ADANECH ANBESA,02:33:01,00:03:38,29of 44,10of 18,Interval
108,AYANTU KUMELA,02:31:11,00:03:35,27of 44,8of 18,Interval
109,LETEBRHAN HAYLAY,02:24:52,00:03:26,19of 44,3of 18,Interval
112,KUMESHI SICHALA,02:31:00,00:03:35,26of 44,7of 18,Interval
114,LEMENEH KASU BITEW,02:28:43,00:03:32,21of 44,4of 18,Interval
116,BESHADU BIRBIRSA,02:38:32,00:03:46,31of 44,11of 18,Interval
118,ANCHALEM HAYMANOT,02:24:15,00:03:26,16of 44,1of 18,Interval
119,WORKNESH ALEMU,02:30:45,00:03:35,25of 44,6of 18,Interval
132,TSETAN DOLKAR,03:10:25,00:04:31,40of 44,17of 18,Indian Female
133,JIGMET DOLMA,03:03:31,00:04:21,38of 44,15of 18,Indian Female
134,DIVYANKA CHAUDHARY,03:14:54,00:04:38,42of 44,18of 18,Indian Female
137,RENU SINGH,03:01:11,00:04:18,37of 44,14of 18,Indian Female
138,ARATI PATIL,03:00:44,00:04:17,36of 44,13of 18,Indian Female
140,CHAVI YADAV,02:50:35,00:04:03,33of 44,12of 18,Indian Female
141,NIRMABEN THAKOR,03:08:33,00:04:29,39of 44,16of 18,Indian Female
222,MADHUSOODANAN NAIR,06:41:33,00:09:31,6978of 7194,6338of 6528,55 to 59 yrs Male
235,DHANUNJAYA UDHAGIRI,03:53:32,00:05:33,811of 7194,779of 6528,40 to 44 yrs Male
238,RAAHIL MODI,03:51:13,00:05:29,739of 7194,711of 6528,35 to 39 yrs Male
243,SAGAR JAIRAMUKA,03:39:35,00:05:13,428of 7194,405of 6528,40 to 44 yrs Male
247,DEEPAK RAJURKAR,05:24:36,00:07:42,4940of 7194,4544of 6528,35 to 39 yrs Male
253,MRUNALINI PIMPRIKAR,05:38:41,00:08:02,5524of 7194,464of 666,50 to 54 yrs Female
269,RAKESH BHANDARI,04:07:14,00:05:52,1332of 7194,1270of 6528,50 to 54 yrs Male
293,PANKAJ VATSYAYAN,04:12:31,00:06:00,1520of 7194,1441of 6528,45 to 49 yrs Male
333,MUKESH SINGH,04:52:41,00:06:57,3448of 7194,3202of 6528,45 to 49 yrs Male
339,BASAVARAJ SAMBAL,05:07:02,00:07:17,4161of 7194,3842of 6528,50 to 54 yrs Male
347,DEEPAK SINGHAL,03:28:41,00:04:57,260of 7194,250of 6528,50 to 54 yrs Male
351,SAHIL SHAH,05:00:10,00:07:07,3846of 7194,3561of 6528,30 to 34 yrs Male
354,PARAG PENDHARKAR,04:44:53,00:06:46,3028of 7194,2820of 6528,55 to 59 yrs Male
362,DEVAL BAJPAI,06:04:59,00:08:39,6394of 7194,5814of 6528,30 to 34 yrs Male
364,DINESH SANKLECHA,05:07:45,00:07:18,4191of 7194,3869of 6528,40 to 44 yrs Male
368,NIKHIL PENDSE,05:25:40,00:07:44,4982of 7194,4583of 6528,35 to 39 yrs Male
372,ANIL PANCHAL,05:10:13,00:07:22,4304of 7194,3975of 6528,65 to 69 yrs Male
374,CHITENDRA SHETTY,04:46:40,00:06:48,3131of 7194,2912of 6528,55 to 59 yrs Male
417,KISHLAY VATSYAYAN,04:41:06,00:06:40,2819of 7194,2627of 6528,35 to 39 yrs Male
