BIB,Name,Finished Time,Chip Pace (min/km),Rank Overall,Category Rank,Category
1,MUKTAR EDRIS,01:01:05,00:02:54,8of 54,8of 32,Interval
2,FELIX KIPKOECH,01:00:33,00:02:53,2of 54,2of 32,Interval
3,CHALA REGASA,01:00:30,00:02:52,1of 54,1of 32,Interval
4,SOLOMON BERIHU,01:01:54,00:02:56,10of 54,10of 32,Interval
5,GEMECHU DIDA,01:00:51,00:02:53,5of 54,5of 32,Interval
6,TESFAHUN AKALNEW,01:29:48,00:04:16,53of 54,31of 32,Interval
7,JOSHUA BELET,01:00:43,00:02:53,4of 54,4of 32,Interval
8,MOSES KOECH,01:00:56,00:02:54,6of 54,6of 32,Interval
9,IBRAHIM HASSAN,01:02:44,00:02:59,11of 54,11of 32,Interval
11,MICHAEL KAMAU,01:01:02,00:02:54,7of 54,7of 32,Interval
12,MATHANGA MBULELI,01:03:52,00:03:02,13of 54,13of 32,Interval
13,BAYELIGN TESHAGER,01:01:18,00:02:55,9of 54,9of 32,Interval
14,BOKI DIRIBA,01:00:34,00:02:53,3of 54,3of 32,Interval
15,JOSHUA KIMUTAI,01:08:10,00:03:14,26of 54,24of 32,Interval
16,OSCAR NIYONZIMA,01:03:10,00:03:00,12of 54,12of 32,Interval
32,LAHSENE BOUCHIKHI,01:09:05,00:03:17,30of 54,25of 32,Interval
51,AVINASH SABLE,01:04:00,00:03:02,14of 54,14of 32,Indian Male
52,SRINU BUGATHA,01:05:25,00:03:06,16of 54,16of 32,Indian Male
53,KARTIK KUMAR,01:04:00,00:03:02,15of 54,15of 32,Indian Male
55,MAN SINGH,01:05:43,00:03:07,17of 54,17of 32,Indian Male
57,KARTIK KARKERA,01:11:47,00:03:25,37of 54,28of 32,Indian Male
58,ROHIT YADAV,01:10:15,00:03:20,35of 54,27of 32,Indian Male
60,DHANAVAT PRAHLAD RAMSING,01:06:30,00:03:10,19of 54,19of 32,Indian Male
61,NEERAJ KUMAR MAURYA,01:32:36,00:04:24,54of 54,32of 32,Indian Male
63,SHRAWAN KR BENIWAL,01:06:25,00:03:09,18of 54,18of 32,Indian Male
64,SANDEEP SINGH,01:06:46,00:03:10,23of 54,22of 32,Indian Male
66,RAJU CHAUDHARY,01:07:58,00:03:14,24of 54,23of 32,Indian Male
68,MANJEET SINGH,01:06:37,00:03:10,20of 54,20of 32,Indian Male
69,UPENDRA BALIYAN,01:09:36,00:03:18,32of 54,26of 32,Indian Male
79,PRAVIN KHAMBAL,01:06:39,00:03:10,21of 54,21of 32,Indian Male
80,MAN CHODHARY,01:26:33,00:04:06,50of 54,30of 32,Indian Male
82,VIKAS KUMAR,01:15:42,00:03:36,39of 54,29of 32,Indian Male
101,LEMLEM HAILU,01:08:50,00:03:16,29of 54,5of 22,Interval
102,IRINE CHEPTAI,01:06:42,00:03:10,22of 54,1of 22,Interval
104,DAWIT SEYAUM,01:08:02,00:03:14,25of 54,2of 22,Interval
106,ANCHINALU DESSIE,01:09:53,00:03:19,34of 54,8of 22,Interval
107,AMINET AHMED,01:08:34,00:03:15,28of 54,4of 22,Interval
108,DANIEL REDIET,01:11:48,00:03:25,38of 54,10of 22,Interval
109,FAITH CHEPKOECH,01:10:34,00:03:21,36of 54,9of 22,Interval
110,MESERET GEBRE,01:09:13,00:03:17,31of 54,6of 22,Interval
111,STELLA CHESANG,01:08:11,00:03:14,27of 54,3of 22,Interval
112,FANTAYE BELAYNEH,01:09:49,00:03:19,33of 54,7of 22,Interval
151,SANJIVANI JADHAV,01:17:53,00:03:42,40of 54,11of 22,Indian Female
152,NANDINI GUPTA,01:20:10,00:03:48,45of 54,16of 22,Indian Female
153,EKTA RAWAT,01:19:57,00:03:48,43of 54,14of 22,Indian Female
154,CHINTA YADAV,01:20:03,00:03:48,44of 54,15of 22,Indian Female
155,MONIKA ATHARE,01:18:39,00:03:44,41of 54,12of 22,Indian Female
158,NIRMA THAKUR,01:27:24,00:04:09,51of 54,21of 22,Indian Female
159,RIMA PATEL,01:24:19,00:04:00,48of 54,19of 22,Indian Female
160,PRITI LAMBA,01:19:06,00:03:45,42of 54,13of 22,Indian Female
161,ARPITA SAINI,01:27:51,00:04:10,52of 54,22of 22,Indian Female
162,DIMPLE SINGH,01:25:44,00:04:04,49of 54,20of 22,Indian Female
163,RESHMA DATTU KEVATE,01:21:04,00:03:51,46of 54,17of 22,Indian Female
165,SRUTHI M S,01:21:58,00:03:54,47of 54,18of 22,Indian Female
325,SUSIL SUBUDHI,02:01:18,00:05:45,1289of 5817,1212of 5107,50 to 54 yrs Male
333,RITU LAL,01:56:42,00:05:32,993of 5817,52of 710,45 to 49 yrs Female
343,RAJ KUMAR,02:31:38,00:07:12,3361of 5817,3063of 5107,55 to 59 yrs Male
